Ablation;Basis_Modell;Experimenttyp;fold;fit_time_seconds;score_time_seconds;macro_f1;weighted_f1;balanced_accuracy;accuracy;test_macro_f1;train_macro_f1;generalization_gap_macro_f1;test_weighted_f1;train_weighted_f1;generalization_gap_weighted_f1;test_balanced_accuracy;train_balanced_accuracy;generalization_gap_balanced_accuracy;test_accuracy;train_accuracy;generalization_gap_accuracy;model_signature;val_macro_f1;val_weighted_f1;val_balanced_accuracy;val_accuracy
Zweck + geber text;SGD hinge balanced;Repräsentationsexperiment;3;3.6901137828826895;0.437605619430542;;;;;;0.8314848201052685;0.0936108481373195;;0.9482783319969476;0.052866191985571;;0.9280801732942112;0.1124695925750269;;0.9463124274099884;0.054239256678281;0bdc9d6159eb;0.7378739719679489;0.8954121400113766;0.8156105807191842;0.8920731707317073
Zweck + geber text;SGD hinge balanced;Repräsentationsexperiment;4;3.24609923362732;0.5304069519042969;;;;;;0.8643827307095007;0.1151744186385983;;0.9470571370973728;0.0505053069810839;;0.9385203903206883;0.1046255380393844;;0.9457317073170732;0.051567944250871;0bdc9d6159eb;0.7492083120709023;0.896551830116289;0.8338948522813039;0.894163763066202
Zweck + geber category;SGD hinge balanced;Repräsentationsexperiment;1;2.456864833831787;0.2907741069793701;;;;;;0.8751400718734228;0.1064973379409162;;0.9487310777221262;0.0504695384059327;;0.9456465295211396;0.1512489863659191;;0.947560975609756;0.0505226480836236;d2376ac49728;0.7686427339325066;0.8982615393161935;0.7943975431552204;0.8970383275261324
Zweck + geber category;SGD hinge balanced;Repräsentationsexperiment;2;1.9584171772003172;0.2512245178222656;;;;;;0.8591159375823014;0.1193815720483292;;0.9472925835658402;0.0531524491618098;;0.9454555413072574;0.1367179139323225;;0.9458478513356562;0.0545586527293844;d2376ac49728;0.7397343655339722;0.8941401344040304;0.8087376273749348;0.8912891986062718
Zweck + geber category;SGD hinge balanced;Repräsentationsexperiment;3;1.8912582397460935;0.2395601272583007;;;;;;0.8537140748746159;0.0987991145058915;;0.9490743685772316;0.0524335339685204;;0.9418713156908652;0.1178822697299661;;0.9474738675958188;0.0538327526132405;d2376ac49728;0.7549149603687244;0.8966408346087111;0.823989045960899;0.8936411149825784
Zweck + geber category;SGD hinge balanced;Repräsentationsexperiment;4;2.2790300846099854;0.2553167343139648;;;;;;0.8594332222150638;0.1242967987744578;;0.9466951922675612;0.0520540419983288;;0.9334459185097193;0.1102955876361998;;0.9454703832752612;0.053397212543554;d2376ac49728;0.7351364234406059;0.8946411502692324;0.8231503308735194;0.8920731707317073
Ohne Empfängeridentität;SGD hinge balanced;Feature-Ablation;1;4.011799097061157;0.4718141555786133;;;;;;0.8716803952239554;0.1103046128583123;;0.9426940615344932;0.0459386398711282;;0.9394204908981708;0.1389643792008973;;0.940795586527294;0.0461962833914053;ac655b64d5d3;0.761375782365643;0.896755421663365;0.8004561116972734;0.8945993031358885
Ohne Empfängeridentität;SGD hinge balanced;Feature-Ablation;2;3.591193675994873;0.495065689086914;;;;;;0.8552844566062555;0.1198512212599139;;0.9341376315273364;0.0491696040904141;;0.9288410348569582;0.1336714775428215;;0.931910569105691;0.0509001161440185;ac655b64d5d3;0.7354332353463415;0.8849680274369222;0.7951695573141367;0.8810104529616725
Ohne Empfängeridentität;SGD hinge balanced;Feature-Ablation;3;3.842406749725342;0.459630012512207;;;;;;0.8487770307505331;0.1144370356994131;;0.9402661237108904;0.0520418096263067;;0.935657032138329;0.1335134350271033;;0.9387921022067364;0.0536004645760743;ac655b64d5d3;0.73433999505112;0.8882243140845837;0.8021435971112256;0.885191637630662
Ohne Empfängeridentität;SGD hinge balanced;Feature-Ablation;4;5.153725862503052;0.8402304649353027;;;;;;0.8718824950137561;0.1000195477032221;;0.9418817402766256;0.05078180885046;;0.9384265730286832;0.112714607704524;;0.939924506387921;0.0519454123112659;ac655b64d5d3;0.771862947310534;0.8910999314261655;0.8257119653241591;0.8879790940766551
Ohne Anschrift;SGD hinge balanced;Feature-Ablation;1;5.5418078899383545;0.6096334457397461;;;;;;0.9286398212998735;0.1131883033258422;;0.9617355088446148;0.0384883690997519;;0.9662899554929456;0.1421144427634189;;0.9609756097560976;0.0387630662020905;65043bdf94a7;0.8154515179740314;0.9232471397448628;0.8241755127295267;0.922212543554007
